"intercept","coeff.price","StockCode","adj.r.squared"
"4.43223245392817","-2.28912636581499","85123A","0.209242554299586"
"2.69828186857442","-0.98915114412721","71053","0.132734106538848"
"3.74649081881109","-1.76769612196854","84406B","0.196759993661875"
"2.55634592733556","-0.802617569706706","84029G","0.0648200785462064"
"2.85210869292273","-0.921661041121747","84029E","0.0725372090917799"
"4.1939942529831","-1.49561871349151","22752","0.229097218666833"
"3.52782195386795","-1.52545858092342","21730","0.188744248333226"
"2.9966204136029","-1.98666790271363","22633","0.0703605641261285"
"3.60345715991936","-2.57101196488136","22632","0.141914357407644"
"3.50577382837941","-1.68335052918607","84879","0.0429153865393814"
"2.27606764716086","-1.4081212086721","22745","0.161695770157697"
"2.25135736133559","-1.4168860230002","22748","0.148045525961771"
"2.81636207263454","-1.28033751476228","22749","0.0827055467042783"
"2.18076233746445","-1.33065901162302","22310","0.197936237612325"
"1.36816133756977","-0.501079794024334","84969","0.0485230303203121"
"3.42321924718142","-1.38194552621451","22623","0.155354111405999"
"5.74006063365412","-1.93161594822354","22622","0.251853924893303"
"3.48928361705454","-1.37839879882005","21754","0.14565368956558"
"3.15199807534854","-1.24717740505871","21755","0.138925606585065"
"6.37459617144246","-2.61561261654283","48187","0.289519572727843"
"4.47820218542421","-1.92980503525851","22960","0.315094610717158"
"2.4858601949275","-1.11960255915362","22913","0.112472011465215"
"2.4235147662262","-1.12584636468983","22912","0.0766734558125293"
"2.47177154697478","-1.09423004740579","22914","0.109399494863621"
"3.2418904763912","-1.31394346577319","21756","0.146133747256623"
"3.1726701695903","-1.39967397627141","22728","0.18557721933221"
"2.36580128361454","-0.768426253548574","22727","0.0472080103851573"
"2.2547520912838","-0.668083172022724","22726","0.0408760867620286"
"0.925777081995851","-1.75782919442775","21724","0.160602631257228"
"1.21164105175402","-1.2880099086401","21883","0.432388300153396"
"1.61895352832982","-2.46165039929695","10002","0.301096360843698"
"2.44760426106085","-2.07453631851301","21791","0.223826733506098"
"3.34465174170065","-1.69861920894084","21035","0.295080141180642"
"3.85457974537158","-1.91819919469777","22326","0.204522499175568"
"3.90971451899798","-3.03268565340073","22629","0.264750545602225"
"3.19189803962905","-2.28782599778115","22659","0.20450564444492"
"2.91871972740019","-1.83610042577186","22631","0.26092166032501"
"1.57505122963181","-2.82361827111755","22661","0.36171444134758"
"3.29345690846719","-1.9210675097387","21731","0.328253391858915"
"3.56253295499627","-1.88374671818088","22900","0.178644161732574"
"2.10652199208058","-1.00128771075345","21913","0.147712174040248"
"0.00852753037274217","-2.77157702512847","22540","0.39011796958233"
"0.283731971778366","-2.29128183093104","22544","0.340981086522371"
"2.44475292107441","-3.20972910775755","22492","0.613952080106066"
"0.678557763534079","0.0398836390025358","POST","0.000351941215562257"
"2.71689209936789","-0.75256509954536","22086","0.0239592633949173"
"3.7460051801108","-1.46023657082412","20679","0.181845431532894"
"2.15712201716533","-0.715888922544267","37370","0.357768723696111"
"2.4426004930916","-1.78357977704749","21871","0.339721086973627"
"2.00369994088243","-1.84509507186177","21071","0.371181000835264"
"1.86783313639571","-1.86696156853133","21068","0.316203060601769"
"5.08299158975378","-2.12066520706395","82483","0.217525564243355"
"4.88612621123479","-1.80698279686067","82486","0.154112062357355"
"3.55015610656056","-1.92485672515751","82482","0.281416967007303"
"2.85831308123231","-1.14724782142428","82494L","0.166157114593879"
"2.86228488660176","-0.777855931019093","21258","0.0975783207702665"
"0.817769969909951","0.399600536693458","22114","0.0100667762308181"
"3.995666976297","-2.29081849235344","21733","0.160859533633356"
"3.62188782199996","-2.06383525268474","22386","0.265763351295803"
"3.26601588246122","-1.76253147462896","85099C","0.200838092413392"
"3.17788528621155","-1.85031058486131","21033","0.29796855452339"
"1.83852013428511","-0.209462908424089","20723","0.00307062885849885"
"2.92303912553754","-0.977066248300894","84997B","0.0707993883204413"
"2.5416856297232","-0.795615978168299","84997C","0.0465086755345415"
"1.9003181498118","-1.54153803486119","21094","0.178381709793822"
"2.50699403428599","-1.08104382921509","20725","0.11904577058914"
"3.39741950608767","-2.05771125954445","21559","0.322091271204529"
"3.3862242797355","-2.02576361398326","22352","0.345575099926354"
"1.76703084529107","-1.10058684008331","21212","0.104189264020988"
"0.579770870154908","-2.25206254611564","21975","0.160724474997099"
"1.05117157348553","-2.16737371292844","21977","0.319562040840055"
"0.910674169005186","-2.17417366944939","84991","0.247900300064431"
"1.2687642877044","-0.609402229151284","84519A","0.107889374081361"
"1.85652101683722","-0.910156840865205","85183B","0.172622167071372"
"1.11530334855966","-0.559778577670459","85071B","0.112676914210457"
"2.83105579073966","-1.29191540104915","21931","0.135536756867461"
"3.14677842842544","-1.71242531860931","21929","0.216367142979343"
"2.88532634356868","-1.68966221201663","22961","0.268031322234829"
"3.26269965045003","-1.27432819671562","22139","0.173003048062257"
